table,year,version,row,column,level,se,state
2,2012,Final,2002,CRP land,188.9,NA,CA
2,2012,Final,2002,Forest land,14362.7,359.081632653061,CA
2,2012,Final,2002,Other rural land,2537.9,293.622448979592,CA
2,2012,Final,2002,Pastureland,1222,134.591836734694,CA
2,2012,Final,2002,Rangeland,19121.2,530,CA
2,2012,Final,2002,Total rural land,46834,205.918367346939,CA
2,2012,Final,2007,Cropland,9187.8,335.918367346939,CA
2,2012,Final,2007,CRP land,139.4,NA,CA
2,2012,Final,2007,Forest land,14207.7,358.673469387755,CA
2,2012,Final,2007,Other rural land,2586.1,285.30612244898,CA
2,2012,Final,2007,Pastureland,1163,152.19387755102,CA
2,2012,Final,2007,Rangeland,19011.2,537.295918367347,CA
2,2012,Final,2007,Total rural land,46295.2,208.214285714286,CA
2,2012,Final,2012,Cropland,9139.2,333.316326530612,CA
2,2012,Final,2012,CRP land,90.2,NA,CA
2,2012,Final,2012,Forest land,14166.5,352.857142857143,CA
2,2012,Final,2012,Other rural land,2573,294.642857142857,CA
2,2012,Final,2012,Pastureland,1185.1,98.6734693877551,CA
2,2012,Final,2012,Rangeland,18891.3,545,CA
2,2012,Final,2012,Total rural land,46045.3,210.714285714286,CA
2,2012,Final,1982,Cropland,402,15.3571428571429,PR
2,2012,Final,1982,CRP land,NA,NA,PR
2,2012,Final,1982,Forest land,525.9,21.1734693877551,PR
2,2012,Final,1982,Other rural land,45.9,6.42857142857143,PR
2,2012,Final,1982,Pastureland,764.9,23.3163265306122,PR
2,2012,Final,1982,Rangeland,147.9,9.18367346938776,PR
2,2012,Final,1982,Total rural land,1886.6,14.9489795918367,PR
2,2012,Final,1987,Cropland,371.1,14.7448979591837,PR
2,2012,Final,1987,CRP land,0,NA,PR
2,2012,Final,1987,Forest land,526.1,20.8673469387755,PR
2,2012,Final,1987,Other rural land,51.5,6.12244897959184,PR
2,2012,Final,1987,Pastureland,751.6,21.3775510204082,PR
2,2012,Final,1987,Rangeland,144.2,9.28571428571428,PR
2,2012,Final,1987,Total rural land,1844.5,14.6938775510204,PR
2,2012,Final,1992,Cropland,356.2,17.0408163265306,PR
2,2012,Final,1992,CRP land,0,NA,PR
2,2012,Final,1992,Forest land,527.2,19.030612244898,PR
2,2012,Final,1992,Other rural land,56.2,5.76530612244898,PR
2,2012,Final,1992,Pastureland,686.2,18.8775510204082,PR
2,2012,Final,1992,Rangeland,137.5,8.62244897959184,PR
2,2012,Final,1992,Total rural land,1763.3,15.8673469387755,PR
2,2012,Final,1997,Cropland,354.4,15.4591836734694,PR
2,2012,Final,1997,CRP land,0,NA,PR
2,2012,Final,1997,Forest land,637.6,20.2551020408163,PR
2,2012,Final,1997,Other rural land,62.1,6.78571428571429,PR
2,2012,Final,1997,Pastureland,452.7,14.7448979591837,PR
2,2012,Final,1997,Rangeland,138.4,9.08163265306123,PR
2,2012,Final,1997,Total rural land,1645.2,15.2551020408163,PR
2,2012,Final,2002,Cropland,338.9,17.5,PR
2,2012,Final,2002,CRP land,0,NA,PR
2,2012,Final,2002,Forest land,655.8,22.9591836734694,PR
2,2012,Final,2002,Other rural land,67.6,8.87755102040816,PR
2,2012,Final,2002,Pastureland,418,16.9897959183673,PR
2,2012,Final,2002,Rangeland,134.4,11.9387755102041,PR
2,2012,Final,2002,Total rural land,1614.7,21.1734693877551,PR
2,2012,Final,2007,Cropland,257.9,21.6836734693878,PR
2,2012,Final,2007,CRP land,0,NA,PR
2,2012,Final,2007,Forest land,700,26.4795918367347,PR
2,2012,Final,2007,Other rural land,63.6,7.75510204081633,PR
2,2012,Final,2007,Pastureland,443.5,23.9285714285714,PR
2,2012,Final,2007,Rangeland,129.1,12.3469387755102,PR
2,2012,Final,2007,Total rural land,1594.1,21.9897959183673,PR
2,2012,Final,2012,Cropland,237.9,25.9183673469388,PR
2,2012,Final,2012,CRP land,0,NA,PR
2,2012,Final,2012,Forest land,792.2,28.6224489795918,PR
2,2012,Final,2012,Other rural land,48.2,7.24489795918367,PR
2,2012,Final,2012,Pastureland,370,23.3673469387755,PR
2,2012,Final,2012,Rangeland,127,12.0918367346939,PR
2,2012,Final,2012,Total rural land,1575.3,22.3979591836735,PR
2,2012,Final,1982,Cropland,10650.6,319.489795918367,CO
2,2012,Final,1982,CRP land,NA,NA,CO
2,2012,Final,1982,Forest land,3750.9,223.928571428571,CO
2,2012,Final,1982,Other rural land,670,71.9897959183673,CO
2,2012,Final,1982,Pastureland,1077,66.6836734693878,CO
2,2012,Final,1982,Rangeland,25447.3,389.234693877551,CO
2,2012,Final,1982,Total rural land,41595.8,63.3163265306122,CO
2,2012,Final,1987,Cropland,9746.7,333.673469387755,CO
2,2012,Final,1987,CRP land,1113.8,NA,CO
2,2012,Final,1987,Forest land,3717.6,223.418367346939,CO
2,2012,Final,1987,Other rural land,712.8,77.7040816326531,CO
2,2012,Final,1987,Pastureland,1077.8,66.1734693877551,CO
2,2012,Final,1987,Rangeland,24949.7,394.030612244898,CO
2,2012,Final,1987,Total rural land,41318.4,76.1224489795918,CO
2,2012,Final,1992,Cropland,8912,309.285714285714,CO
2,2012,Final,1992,CRP land,1912.6,NA,CO
2,2012,Final,1992,Forest land,3548.4,231.632653061224,CO
2,2012,Final,1992,Other rural land,736,68.9795918367347,CO
2,2012,Final,1992,Pastureland,1122.5,71.1224489795918,CO
2,2012,Final,1992,Rangeland,24865.3,396.530612244898,CO
2,2012,Final,1992,Total rural land,41096.8,80.5102040816327,CO
2,2012,Final,1997,Cropland,8804.2,301.326530612245,CO
2,2012,Final,1997,CRP land,1890.1,NA,CO
2,2012,Final,1997,Forest land,3485.4,228.979591836735,CO
2,2012,Final,1997,Other rural land,716.8,70.6632653061225,CO
2,2012,Final,1997,Pastureland,1129.6,70.5102040816327,CO
2,2012,Final,1997,Rangeland,24791.5,388.418367346939,CO
2,2012,Final,1997,Total rural land,40817.6,87.5510204081633,CO
2,2012,Final,2002,Cropland,8243.2,296.581632653061,CO
2,2012,Final,2002,CRP land,2203,NA,CO
2,2012,Final,2002,Forest land,3396.1,215.561224489796,CO
2,2012,Final,2002,Other rural land,760.4,89.4387755102041,CO
2,2012,Final,2002,Pastureland,946.6,90.5612244897959,CO
2,2012,Final,2002,Rangeland,25013.4,361.785714285714,CO
2,2012,Final,2002,Total rural land,40562.7,97.8571428571429,CO
2,2012,Final,2007,Cropland,7787.5,286.428571428571,CO
2,2012,Final,2007,CRP land,2446.6,NA,CO
2,2012,Final,2007,Forest land,3380.3,216.989795918367,CO
2,2012,Final,2007,Other rural land,772.3,88.3163265306122,CO
2,2012,Final,2007,Pastureland,1044.6,99.4897959183673,CO
2,2012,Final,2007,Rangeland,24956.6,357.959183673469,CO
2,2012,Final,2007,Total rural land,40387.9,102.091836734694,CO
2,2012,Final,2012,Cropland,7953,277.551020408163,CO
2,2012,Final,2012,CRP land,2125.9,NA,CO
2,2012,Final,2012,Forest land,3370.5,217.448979591837,CO
2,2012,Final,2012,Other rural land,759,83.8775510204082,CO
2,2012,Final,2012,Pastureland,1268.7,109.285714285714,CO
2,2012,Final,2012,Rangeland,24821,363.061224489796,CO
2,2012,Final,2012,Total rural land,40298.1,102.857142857143,CO
2,2012,Final,1982,Cropland,233.7,19.8469387755102,CT
2,2012,Final,1982,CRP land,NA,NA,CT
2,2012,Final,1982,Forest land,1761,30.2551020408163,CT
2,2012,Final,1982,Other rural land,103.5,11.4795918367347,CT
2,2012,Final,1982,Pastureland,122,12.9591836734694,CT
2,2012,Final,1982,Rangeland,0,NA,CT
2,2012,Final,1982,Total rural land,2220.2,17.3979591836735,CT
2,2012,Final,1987,Cropland,220.3,18.0612244897959,CT
2,2012,Final,1987,CRP land,0,NA,CT
2,2012,Final,1987,Forest land,1719.9,28.8265306122449,CT
2,2012,Final,1987,Other rural land,101.3,11.3775510204082,CT
2,2012,Final,1987,Pastureland,122.3,14.4387755102041,CT
2,2012,Final,1987,Rangeland,0,NA,CT
2,2012,Final,1987,Total rural land,2163.8,17.5,CT
2,2012,Final,1992,Cropland,215.8,17.6530612244898,CT
2,2012,Final,1992,CRP land,0,NA,CT
2,2012,Final,1992,Forest land,1692.6,28.469387755102,CT
2,2012,Final,1992,Other rural land,99,10.3061224489796,CT
2,2012,Final,1992,Pastureland,110.9,10.8673469387755,CT
2,2012,Final,1992,Rangeland,0,NA,CT
2,2012,Final,1992,Total rural land,2118.3,18.1632653061225,CT
2,2012,Final,1997,Cropland,197.5,16.7857142857143,CT
2,2012,Final,1997,CRP land,0,NA,CT
2,2012,Final,1997,Forest land,1674.8,27.2448979591837,CT
2,2012,Final,1997,Other rural land,95.5,9.74489795918367,CT
2,2012,Final,1997,Pastureland,104.3,10.7142857142857,CT
2,2012,Final,1997,Rangeland,0,NA,CT
2,2012,Final,1997,Total rural land,2072.1,17.5,CT
2,2012,Final,2002,Cropland,175.9,16.4795918367347,CT
2,2012,Final,2002,CRP land,0,NA,CT
2,2012,Final,2002,Forest land,1633.8,28.0102040816327,CT
2,2012,Final,2002,Other rural land,97.8,9.64285714285714,CT
2,2012,Final,2002,Pastureland,109.3,11.1734693877551,CT
2,2012,Final,2002,Rangeland,0,NA,CT
2,2012,Final,2002,Total rural land,2016.8,19.4897959183673,CT
2,2012,Final,2007,Cropland,173.2,15.9183673469388,CT
2,2012,Final,2007,CRP land,0,NA,CT
2,2012,Final,2007,Forest land,1613.8,29.8469387755102,CT
2,2012,Final,2007,Other rural land,100.5,9.84693877551021,CT
2,2012,Final,2007,Pastureland,96.7,10.8163265306122,CT
2,2012,Final,2007,Rangeland,0,NA,CT
2,2012,Final,2007,Total rural land,1984.2,19.7959183673469,CT
2,2012,Final,2012,Cropland,173,16.1224489795918,CT
2,2012,Final,2012,CRP land,0,NA,CT
2,2012,Final,2012,Forest land,1604.2,30.8163265306122,CT
2,2012,Final,2012,Other rural land,103,9.94897959183674,CT
2,2012,Final,2012,Pastureland,90.6,11.1734693877551,CT
2,2012,Final,2012,Rangeland,0,NA,CT
2,2012,Final,2012,Total rural land,1970.8,19.8979591836735,CT
2,2012,Final,1982,Cropland,520.1,19.0816326530612,DE
2,2012,Final,1982,CRP land,NA,NA,DE
2,2012,Final,1982,Forest land,374.5,21.734693877551,DE
2,2012,Final,1982,Other rural land,120,13.2142857142857,DE
2,2012,Final,1982,Pastureland,34.4,5.81632653061224,DE
2,2012,Final,1982,Rangeland,0,NA,DE
2,2012,Final,1982,Total rural land,1049,13.6734693877551,DE
2,2012,Final,1987,Cropland,513.2,18.5714285714286,DE
2,2012,Final,1987,CRP land,0,NA,DE
2,2012,Final,1987,Forest land,370.8,22.7040816326531,DE
2,2012,Final,1987,Other rural land,119.2,13.1632653061224,DE
2,2012,Final,1987,Pastureland,28.5,4.89795918367347,DE
2,2012,Final,1987,Rangeland,0,NA,DE
2,2012,Final,1987,Total rural land,1031.7,14.8469387755102,DE
2,2012,Final,1992,Cropland,502.5,18.9285714285714,DE
2,2012,Final,1992,CRP land,0.8,NA,DE
2,2012,Final,1992,Forest land,364.4,22.0918367346939,DE
2,2012,Final,1992,Other rural land,121.2,12.8571428571429,DE
2,2012,Final,1992,Pastureland,25.5,3.92857142857143,DE
2,2012,Final,1992,Rangeland,0,NA,DE
2,2012,Final,1992,Total rural land,1014.4,15.3571428571429,DE
2,2012,Final,1997,Cropland,485.8,17.8571428571429,DE
2,2012,Final,1997,CRP land,0.8,NA,DE
2,2012,Final,1997,Forest land,356.9,20.5612244897959,DE
2,2012,Final,1997,Other rural land,125.2,12.7551020408163,DE
2,2012,Final,1997,Pastureland,24,4.48979591836735,DE
2,2012,Final,1997,Rangeland,0,NA,DE
2,2012,Final,1997,Total rural land,992.7,15.969387755102,DE
2,2012,Final,2002,Cropland,459.9,18.3673469387755,DE
2,2012,Final,2002,CRP land,1.3,NA,DE
2,2012,Final,2002,Forest land,347,19.5408163265306,DE
2,2012,Final,2002,Other rural land,122.3,13.5714285714286,DE
2,2012,Final,2002,Pastureland,26.1,3.87755102040816,DE
2,2012,Final,2002,Rangeland,0,NA,DE
2,2012,Final,2002,Total rural land,956.6,17.2959183673469,DE
2,2012,Final,2007,Cropland,417.1,19.1836734693878,DE
2,2012,Final,2007,CRP land,1.8,NA,DE
2,2012,Final,2007,Forest land,339.9,19.234693877551,DE
2,2012,Final,2007,Other rural land,135.3,15.1020408163265,DE
2,2012,Final,2007,Pastureland,33.4,4.94897959183673,DE
2,2012,Final,2007,Rangeland,0,NA,DE
2,2012,Final,2007,Total rural land,927.5,19.1326530612245,DE
2,2012,Final,2012,Cropland,410.8,19.4387755102041,DE
2,2012,Final,2012,CRP land,0.5,NA,DE
2,2012,Final,2012,Forest land,340.5,19.8979591836735,DE
2,2012,Final,2012,Other rural land,128.8,13.7755102040816,DE
2,2012,Final,2012,Pastureland,33.3,6.02040816326531,DE
2,2012,Final,2012,Rangeland,0,NA,DE
2,2012,Final,2012,Total rural land,913.9,20.1530612244898,DE
2,2012,Final,1982,Cropland,3577.7,121.326530612245,FL
2,2012,Final,1982,CRP land,NA,NA,FL
2,2012,Final,1982,Forest land,13374.5,183.520408163265,FL
2,2012,Final,1982,Other rural land,2358.9,161.479591836735,FL
2,2012,Final,1982,Pastureland,4388.8,125.510204081633,FL
2,2012,Final,1982,Rangeland,4299.9,166.938775510204,FL
2,2012,Final,1982,Total rural land,27999.8,118.163265306122,FL
2,2012,Final,1987,Cropland,3202,129.387755102041,FL
2,2012,Final,1987,CRP land,93.7,NA,FL
2,2012,Final,1987,Forest land,13327,189.540816326531,FL
2,2012,Final,1987,Other rural land,2381.5,162.5,FL
2,2012,Final,1987,Pastureland,4682.1,147.80612244898,FL
2,2012,Final,1987,Rangeland,3958.2,171.836734693878,FL
2,2012,Final,1987,Total rural land,27644.5,123.163265306122,FL
2,2012,Final,1992,Cropland,3051,136.887755102041,FL
2,2012,Final,1992,CRP land,123.9,NA,FL
2,2012,Final,1992,Forest land,13280.9,187.091836734694,FL
2,2012,Final,1992,Other rural land,2385.3,168.214285714286,FL
2,2012,Final,1992,Pastureland,4598.1,154.744897959184,FL
2,2012,Final,1992,Rangeland,3408.9,154.030612244898,FL
2,2012,Final,1992,Total rural land,26848.1,132.80612244898,FL
2,2012,Final,1997,Cropland,2783.3,139.540816326531,FL
2,2012,Final,1997,CRP land,120,NA,FL
2,2012,Final,1997,Forest land,13200.2,191.275510204082,FL
2,2012,Final,1997,Other rural land,2414.8,171.377551020408,FL
2,2012,Final,1997,Pastureland,4518.8,170.867346938776,FL
2,2012,Final,1997,Rangeland,3122.3,161.785714285714,FL
2,2012,Final,1997,Total rural land,26159.4,145.255102040816,FL
2,2012,Final,2002,Cropland,2902.9,153.724489795918,FL
2,2012,Final,2002,CRP land,88.5,NA,FL
2,2012,Final,2002,Forest land,13317.2,193.622448979592,FL
2,2012,Final,2002,Other rural land,2466.3,169.642857142857,FL
2,2012,Final,2002,Pastureland,4015.5,165.204081632653,FL
2,2012,Final,2002,Rangeland,2819.1,162.448979591837,FL
2,2012,Final,2002,Total rural land,25609.5,158.010204081633,FL
2,2012,Final,2007,Cropland,2829,174.081632653061,FL
2,2012,Final,2007,CRP land,63.1,NA,FL
2,2012,Final,2007,Forest land,13177,177.142857142857,FL
2,2012,Final,2007,Other rural land,2618.8,164.540816326531,FL
2,2012,Final,2007,Pastureland,3838.1,170.918367346939,FL
2,2012,Final,2007,Rangeland,2608.2,157.704081632653,FL
2,2012,Final,2007,Total rural land,25134.2,171.428571428571,FL
2,2012,Final,2012,Cropland,2848.2,154.642857142857,FL
2,2012,Final,2012,CRP land,50.2,NA,FL
2,2012,Final,2012,Forest land,13175.5,176.071428571429,FL
2,2012,Final,2012,Other rural land,2561.4,167.602040816327,FL
2,2012,Final,2012,Pastureland,3780.7,149.489795918367,FL
2,2012,Final,2012,Rangeland,2571,157.34693877551,FL
2,2012,Final,2012,Total rural land,24987,175.714285714286,FL
2,2012,Final,1982,Cropland,6592.8,109.132653061224,GA
2,2012,Final,1982,CRP land,NA,NA,GA
2,2012,Final,1982,Forest land,22063.8,191.020408163265,GA
2,2012,Final,1982,Other rural land,923.9,59.4387755102041,GA
2,2012,Final,1982,Pastureland,2937.1,88.8775510204082,GA
2,2012,Final,1982,Rangeland,0,NA,GA
2,2012,Final,1982,Total rural land,32517.6,60.6632653061225,GA
2,2012,Final,1987,Cropland,5938.4,105.765306122449,GA
2,2012,Final,1987,CRP land,301.8,NA,GA
2,2012,Final,1987,Forest land,22193.6,182.091836734694,GA
2,2012,Final,1987,Other rural land,895.4,57.0408163265306,GA
2,2012,Final,1987,Pastureland,2929.6,79.030612244898,GA
2,2012,Final,1987,Rangeland,0,NA,GA
2,2012,Final,1987,Total rural land,32258.8,67.2448979591837,GA
2,2012,Final,1992,Cropland,5201.2,130.765306122449,GA
2,2012,Final,1992,CRP land,593.7,NA,GA
2,2012,Final,1992,Forest land,22047.7,198.418367346939,GA
